hangul_index	euc_kr	character	glyph_index	message_bytes	font_offset
0	0xB0A1	가	0x101	EC 01	0x02020
1	0xB0A2	각	0x102	EC 02	0x02040
2	0xB0A3	간	0x103	EC 03	0x02060
3	0xB0A4	갇	0x104	EC 04	0x02080
4	0xB0A5	갈	0x105	EC 05	0x020A0
5	0xB0A6	갉	0x106	EC 06	0x020C0
6	0xB0A7	갊	0x107	EC 07	0x020E0
7	0xB0A8	감	0x108	EC 08	0x02100
8	0xB0A9	갑	0x109	EC 09	0x02120
9	0xB0AA	값	0x10A	EC 0A	0x02140
10	0xB0AB	갓	0x10B	EC 0B	0x02160
11	0xB0AC	갔	0x10C	EC 0C	0x02180
12	0xB0AD	강	0x10D	EC 0D	0x021A0
13	0xB0AE	갖	0x10E	EC 0E	0x021C0
14	0xB0AF	갗	0x10F	EC 0F	0x021E0
15	0xB0B0	같	0x110	EC 10	0x02200
16	0xB0B1	갚	0x111	EC 11	0x02220
17	0xB0B2	갛	0x112	EC 12	0x02240
18	0xB0B3	개	0x113	EC 13	0x02260
19	0xB0B4	객	0x114	EC 14	0x02280
20	0xB0B5	갠	0x115	EC 15	0x022A0
21	0xB0B6	갤	0x116	EC 16	0x022C0
22	0xB0B7	갬	0x117	EC 17	0x022E0
23	0xB0B8	갭	0x118	EC 18	0x02300
24	0xB0B9	갯	0x119	EC 19	0x02320
25	0xB0BA	갰	0x11A	EC 1A	0x02340
26	0xB0BB	갱	0x11B	EC 1B	0x02360
27	0xB0BC	갸	0x11C	EC 1C	0x02380
28	0xB0BD	갹	0x11D	EC 1D	0x023A0
29	0xB0BE	갼	0x11E	EC 1E	0x023C0
30	0xB0BF	걀	0x11F	EC 1F	0x023E0
31	0xB0C0	걋	0x120	EC 20	0x02400
32	0xB0C1	걍	0x121	EC 21	0x02420
33	0xB0C2	걔	0x122	EC 22	0x02440
34	0xB0C3	걘	0x123	EC 23	0x02460
35	0xB0C4	걜	0x124	EC 24	0x02480
36	0xB0C5	거	0x125	EC 25	0x024A0
37	0xB0C6	걱	0x126	EC 26	0x024C0
38	0xB0C7	건	0x127	EC 27	0x024E0
39	0xB0C8	걷	0x128	EC 28	0x02500
40	0xB0C9	걸	0x129	EC 29	0x02520
41	0xB0CA	걺	0x12A	EC 2A	0x02540
42	0xB0CB	검	0x12B	EC 2B	0x02560
43	0xB0CC	겁	0x12C	EC 2C	0x02580
44	0xB0CD	것	0x12D	EC 2D	0x025A0
45	0xB0CE	겄	0x12E	EC 2E	0x025C0
46	0xB0CF	겅	0x12F	EC 2F	0x025E0
47	0xB0D0	겆	0x130	EC 30	0x02600
48	0xB0D1	겉	0x131	EC 31	0x02620
49	0xB0D2	겊	0x132	EC 32	0x02640
50	0xB0D3	겋	0x133	EC 33	0x02660
51	0xB0D4	게	0x134	EC 34	0x02680
52	0xB0D5	겐	0x135	EC 35	0x026A0
53	0xB0D6	겔	0x136	EC 36	0x026C0
54	0xB0D7	겜	0x137	EC 37	0x026E0
55	0xB0D8	겝	0x138	EC 38	0x02700
56	0xB0D9	겟	0x139	EC 39	0x02720
57	0xB0DA	겠	0x13A	EC 3A	0x02740
58	0xB0DB	겡	0x13B	EC 3B	0x02760
59	0xB0DC	겨	0x13C	EC 3C	0x02780
60	0xB0DD	격	0x13D	EC 3D	0x027A0
61	0xB0DE	겪	0x13E	EC 3E	0x027C0
62	0xB0DF	견	0x13F	EC 3F	0x027E0
63	0xB0E0	겯	0x140	EC 40	0x02800
64	0xB0E1	결	0x141	EC 41	0x02820
65	0xB0E2	겸	0x142	EC 42	0x02840
66	0xB0E3	겹	0x143	EC 43	0x02860
67	0xB0E4	겻	0x144	EC 44	0x02880
68	0xB0E5	겼	0x145	EC 45	0x028A0
69	0xB0E6	경	0x146	EC 46	0x028C0
70	0xB0E7	곁	0x147	EC 47	0x028E0
71	0xB0E8	계	0x148	EC 48	0x02900
72	0xB0E9	곈	0x149	EC 49	0x02920
73	0xB0EA	곌	0x14A	EC 4A	0x02940
74	0xB0EB	곕	0x14B	EC 4B	0x02960
75	0xB0EC	곗	0x14C	EC 4C	0x02980
76	0xB0ED	고	0x14D	EC 4D	0x029A0
77	0xB0EE	곡	0x14E	EC 4E	0x029C0
78	0xB0EF	곤	0x14F	EC 4F	0x029E0
79	0xB0F0	곧	0x150	EC 50	0x02A00
80	0xB0F1	골	0x151	EC 51	0x02A20
81	0xB0F2	곪	0x152	EC 52	0x02A40
82	0xB0F3	곬	0x153	EC 53	0x02A60
83	0xB0F4	곯	0x154	EC 54	0x02A80
84	0xB0F5	곰	0x155	EC 55	0x02AA0
85	0xB0F6	곱	0x156	EC 56	0x02AC0
86	0xB0F7	곳	0x157	EC 57	0x02AE0
87	0xB0F8	공	0x158	EC 58	0x02B00
88	0xB0F9	곶	0x159	EC 59	0x02B20
89	0xB0FA	과	0x15A	EC 5A	0x02B40
90	0xB0FB	곽	0x15B	EC 5B	0x02B60
91	0xB0FC	관	0x15C	EC 5C	0x02B80
92	0xB0FD	괄	0x15D	EC 5D	0x02BA0
93	0xB0FE	괆	0x15E	EC 5E	0x02BC0
94	0xB1A1	괌	0x15F	EC 5F	0x02BE0
95	0xB1A2	괍	0x160	EC 60	0x02C00
96	0xB1A3	괏	0x161	EC 61	0x02C20
97	0xB1A4	광	0x162	EC 62	0x02C40
98	0xB1A5	괘	0x163	EC 63	0x02C60
99	0xB1A6	괜	0x164	EC 64	0x02C80
100	0xB1A7	괠	0x165	EC 65	0x02CA0
