hangul_index	euc_kr	character	krom_index	sjis_slot	bios_offset
0	0xB0A1	가	524	0x889F	0x69D68
1	0xB0A2	각	525	0x88A0	0x69D86
2	0xB0A3	간	526	0x88A1	0x69DA4
3	0xB0A4	갇	527	0x88A2	0x69DC2
4	0xB0A5	갈	528	0x88A3	0x69DE0
5	0xB0A6	갉	529	0x88A4	0x69DFE
6	0xB0A7	갊	530	0x88A5	0x69E1C
7	0xB0A8	감	531	0x88A6	0x69E3A
8	0xB0A9	갑	532	0x88A7	0x69E58
9	0xB0AA	값	533	0x88A8	0x69E76
10	0xB0AB	갓	534	0x88A9	0x69E94
11	0xB0AC	갔	535	0x88AA	0x69EB2
12	0xB0AD	강	536	0x88AB	0x69ED0
13	0xB0AE	갖	537	0x88AC	0x69EEE
14	0xB0AF	갗	538	0x88AD	0x69F0C
15	0xB0B0	같	539	0x88AE	0x69F2A
16	0xB0B1	갚	540	0x88AF	0x69F48
17	0xB0B2	갛	541	0x88B0	0x69F66
18	0xB0B3	개	542	0x88B1	0x69F84
19	0xB0B4	객	543	0x88B2	0x69FA2
20	0xB0B5	갠	544	0x88B3	0x69FC0
21	0xB0B6	갤	545	0x88B4	0x69FDE
22	0xB0B7	갬	546	0x88B5	0x69FFC
23	0xB0B8	갭	547	0x88B6	0x6A01A
24	0xB0B9	갯	548	0x88B7	0x6A038
25	0xB0BA	갰	549	0x88B8	0x6A056
26	0xB0BB	갱	550	0x88B9	0x6A074
27	0xB0BC	갸	551	0x88BA	0x6A092
28	0xB0BD	갹	552	0x88BB	0x6A0B0
29	0xB0BE	갼	553	0x88BC	0x6A0CE
30	0xB0BF	걀	554	0x88BD	0x6A0EC
31	0xB0C0	걋	555	0x88BE	0x6A10A
32	0xB0C1	걍	556	0x88BF	0x6A128
33	0xB0C2	걔	557	0x88C0	0x6A146
34	0xB0C3	걘	558	0x88C1	0x6A164
35	0xB0C4	걜	559	0x88C2	0x6A182
36	0xB0C5	거	560	0x88C3	0x6A1A0
37	0xB0C6	걱	561	0x88C4	0x6A1BE
38	0xB0C7	건	562	0x88C5	0x6A1DC
39	0xB0C8	걷	563	0x88C6	0x6A1FA
